director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
Gavin O'Connor,140,13651662,Drama|Sport,Warrior,2011,English,USA,25000000,8.2,"Tom Hardy,Frank Grillo,Kevin Dunn",77000
Gary Ross,139,20389967,Action|Biography|Drama|History|War,Free State of Jones,2016,English,USA,50000000,6.7,"Matthew McConaughey,Donald Watkins,Jessica Collins",10000
Tate Taylor,139,30513940,Biography|Drama|Music,Get on Up,2014,English,USA,30000000,6.9,"Tika Sumpter,Josh Hopkins,Aunjanue Ellis",11000
Terrence Malick,139,13303319,Drama|Fantasy,The Tree of Life,2011,English,USA,32000000,6.7,"Brad Pitt,Tye Sheridan,Fiona Shaw",39000
Robert Zemeckis,138,93749203,Drama|Thriller,Flight,2012,English,USA,31000000,7.3,"Denzel Washington,Bruce Greenwood,Nadine Velazquez",64000
Darren Aronofsky,138,101160529,Action|Adventure|Drama,Noah,2014,English,USA,125000000,5.8,"Anthony Hopkins,Emma Watson,Logan Lerman",71000
Martin Scorsese,138,127968405,Mystery|Thriller,Shutter Island,2010,English,USA,80000000,8.1,"Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto",53000
Ridley Scott,138,16969390,Crime|Drama|Thriller,The Counselor,2013,English,USA,25000000,5.3,"Michael Fassbender,Brad Pitt,Goran Visnjic",24000
James Mangold,138,132550960,Action|Adventure|Sci-Fi|Thriller,The Wolverine,2013,English,USA,120000000,6.7,"Hugh Jackman,Tao Okamoto,Rila Fukushima",68000
Daniel Espinosa,137,1206135,Crime|Drama|Thriller,Child 44,205,English,Czech Republic,50000000,6.4,"Tom Hardy,Fares Fares,Michael Nardone",18000
Walter Salles,137,717753,Adventure|Drama,On the Road,2012,English,France,25000000,6.1,"Kristen Stewart,Viggo Mortensen,Kirsten Dunst",27000
Angelina Jolie Pitt,137,115603980,Biography|Drama|Sport|War,Unbroken,2014,English,USA,65000000,-1.2,"Finn Wittrock,Jack O'Connell,Alex Russell",35000
Angelina Jolie Pitt,137,115603980,Biography|Drama|Sport|War,Unbroken,2014,English,USA,65000000,7.2,"Finn Wittrock,Jack O'Connell,Alex Russell",35000
Seth MacFarlane,136,42615685,Comedy|Western,A Million Ways to Die in the West,2014,English,USA,40000000,6.1,"Liam Neeson,Charlize Theron,Seth MacFarlane",24000
Anthony Russo,136,259746958,Action|Adventure|Sci-Fi,Captain America: The Winter Soldier,2014,English,usa,170000000,7.8,"Scarlett Johansson,Chris Evans,Hayley Atwell",55000
Rob Marshall,136,241063875,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides,2011,English,USA,250000000,6.7,"Johnny Depp,Sam Claflin,Stephen Graham",58000
Adam Shankman,136,38509342,Comedy|Drama|Musical|Romance,Rock of Ages,2012,English,USA,75000000,5.9,"James Martin Kelly,Shane Hartline,Celina Beach",33000
Sadyk Sher-Niyaz,135,,Action|Biography|Drama|History,Queen of the Mountains,2014,English,Kyrgyzstan,1400000,8.7,"Elina Abai Kyzy,Aziz Muradillayev,Mirlan Abdulayev",0
Tony Gilroy,135,113165635,Action|Adventure|Thriller,The Bourne Legacy,2012,English,USA,125000000,6.7,"Jeremy Renner,Scott Glenn,Stacy Keach",31000
Steve McQueen,134,56667870,Biography|Drama|History,12 Years a Slave,2013,English,USA,20000000,8.1,"Quvenzhané Wallis,Scoot McNairy,Taran Killam",83000
Richard J. Lewis,134,7501404,Comedy|Drama,Barney's Version,2010,English,Canada,,7.3,"Mark Addy,Atom Egoyan,Paul Gross",0
Paul Greengrass,134,107100855,Biography|Drama|Thriller,Captain Phillips,2013,English,USA,55000000,7.9,"Tom Hanks,Chris Mulkey,Michael Chernus",65000
David Ayer,134,85707116,Action|Drama|War,Fury,2014,English,USA,68000000,7.6,"Brad Pitt,Logan Lerman,Jim Parrack",82000
Clint Eastwood,5,47034272,Biography|Drama|Music|Musical,Jersey Boys,2014,English,USA,40000000,6.9,"Johnny Cannizzaro,Steve Schirripa,Scott Vance",16000
